Mode,Start_Time,Animal,Weight,Unit,Pellets
0,2025-11-27 15:19:51.502500,12183119106,-33.07,1,0
0,2025-11-27 15:06:34.587961,12184315,0.02,2,0
initialize,2025-11-28 12:38:22.947741,0,-0.01,1,0
initialize,2025-11-28 12:38:23.149422,0,0.07,2,0
initialize,2025-11-28 12:39:04.686123,0,-0.07,1,0
initialize,2025-11-28 12:39:04.887652,0,-0.01,2,0
initialize,2025-11-28 12:39:23.403912,0,-0.12,1,0
initialize,2025-11-28 12:39:23.605442,0,-0.06,2,0
0,2025-11-28 12:39:23.605442,0,-0.06,2,0
0,2025-11-28 12:47:31.957221,12184255229,16.43,2,0
0,2025-11-28 12:49:18.458595,12184240234,16.54,2,0
0,2025-11-28 12:49:22.097616,12184240234,16.72,2,0
0,2025-11-28 12:49:41.763010,12184240234,16.21,2,0
0,2025-11-28 12:49:47.181462,12184240234,15.93,2,0
0,2025-11-28 12:39:23.403912,0,-0.12,1,0
0,2025-11-28 12:50:36.293899,12184178168,18.79,2,1
0,2025-11-28 12:53:25.439273,121858776,15.86,1,0
0,2025-11-28 12:54:19.680922,12184255229,16.65,2,1
0,2025-11-28 12:54:20.426722,12184178168,13.74,1,0
0,2025-11-28 12:54:27.772179,12184178168,17.91,1,0
0,2025-11-28 12:55:30.161745,121858776,15.95,1,0
0,2025-11-28 12:56:20.247825,12184255229,16.62,1,0
0,2025-11-28 12:57:31.960490,12184240234,6.24,1,0
0,2025-11-28 12:54:26.802662,12184255229,16.38,2,3
0,2025-11-28 13:00:42.972097,12184240234,16.69,2,0
0,2025-11-28 13:00:47.119723,12184240234,16.46,2,0
0,2025-11-28 13:01:02.435949,12184240234,19.53,2,1
0,2025-11-28 13:01:13.739139,12184240234,16.58,2,0
0,2025-11-28 13:00:38.074625,12184178168,19.08,1,3
0,2025-11-28 13:01:39.637732,12184178168,19.39,1,0
0,2025-11-28 13:01:41.825545,12184178168,17.68,1,0
0,2025-11-28 13:01:48.795534,12184178168,19.04,1,0
0,2025-11-28 13:01:52.753744,12184178168,19.07,1,0
0,2025-11-28 13:01:55.756740,12184178168,18.78,1,0
0,2025-11-28 13:02:01.372134,12184178168,18.02,1,0
0,2025-11-28 13:02:03.298587,12184178168,19.81,1,0
0,2025-11-28 13:02:09.310214,12184178168,19.15,1,0
0,2025-11-28 13:02:10.675108,12184178168,18.3,1,0
0,2025-11-28 13:01:24.408096,12184240234,14.38,2,0
0,2025-11-28 13:03:37.445709,12184255229,16.46,2,0
0,2025-11-28 13:03:41.234748,12184255229,22.15,2,1
0,2025-11-28 13:03:42.933288,12184255229,16.28,2,0
0,2025-11-28 13:04:08.720659,12184240234,16.52,2,1
0,2025-11-28 13:04:16.794979,12184240234,16.3,2,0
0,2025-11-28 13:04:26.863074,12184240234,16.37,2,3
0,2025-11-28 13:02:48.622640,12184178168,14.5,1,0
0,2025-11-28 13:04:35.062596,12184240234,16.41,2,2
0,2025-11-28 13:04:48.849444,12184240234,16.7,2,1
0,2025-11-28 13:04:59.760744,12184240234,16.64,2,1
0,2025-11-28 13:05:04.791869,12184240234,16.54,2,1
0,2025-11-28 13:05:17.401878,12184240234,16.5,2,0
0,2025-11-28 13:05:23.674548,12184240234,16.22,2,0
0,2025-11-28 13:04:43.027243,121858776,15.53,1,0
0,2025-11-28 13:05:49.389153,121858776,15.62,1,1
0,2025-11-28 13:06:55.516589,12184255229,16.6,1,1
0,2025-11-28 13:07:09.881923,1102000232,16.51,1,0
0,2025-11-28 13:07:10.087900,12184255229,16.56,1,0
0,2025-11-28 13:07:11.840746,12184255229,15.57,1,1
0,2025-11-28 13:05:25.919665,12184240234,16.25,2,0
0,2025-11-28 13:07:25.161298,12184255229,16.41,1,1
0,2025-11-28 13:07:41.289491,12184255229,15.64,1,0
0,2025-11-28 13:07:37.692639,12184240234,16.66,2,0
0,2025-11-28 13:07:44.435076,12184255229,27.51,1,1
0,2025-11-28 13:08:08.388501,12184255229,17.07,1,0
0,2025-11-28 13:08:13.469190,12184255229,16.44,1,0
0,2025-11-28 13:08:59.633860,121856491,17.03,1,0
0,2025-11-28 13:07:44.747340,12184240234,17.73,2,0
0,2025-11-28 13:10:31.205221,12184178168,19.22,2,0
0,2025-11-28 13:10:17.662510,121858776,15.9,1,2
0,2025-11-28 13:10:42.575064,121858776,10.62,1,1
0,2025-11-28 13:11:02.675473,121858776,16.52,1,0
0,2025-11-28 13:13:06.200529,121858776,11.03,1,0
0,2025-11-28 13:13:18.705594,121858776,14.26,1,1
0,2025-11-28 13:10:39.013227,12184178168,18.68,2,0
0,2025-11-28 13:13:28.255508,12184255229,17.88,2,1
0,2025-11-28 13:13:23.340757,121858776,15.97,1,0
0,2025-11-28 13:13:37.956413,121858776,16.57,1,0
0,2025-11-28 13:13:44.041595,121858776,15.4,1,0
0,2025-11-28 13:13:34.821938,12184255229,16.33,2,0
0,2025-11-28 13:13:48.481252,12184255229,16.43,2,0
0,2025-11-28 13:13:52.300207,12184255229,16.5,2,0
0,2025-11-28 13:13:57.240078,12184255229,16.58,2,0
0,2025-11-28 13:14:02.176290,12184255229,16.37,2,0
0,2025-11-28 13:14:03.450632,12184255229,10.98,2,0
