Mode,Start_Time,Animal,Weight,Unit,Pellets
0,2025-11-30 23:59:11.477615,12183221192,21.49,2,1
0,2025-11-30 23:58:57.698799,12185232243,23.44,1,0
0,2025-12-01 00:07:35.802966,12185232243,22.78,2,1
0,2025-12-01 00:07:42.984086,12185232243,23.36,2,1
0,2025-12-01 00:07:48.961820,12185232243,23.64,2,1
0,2025-12-01 00:07:54.955439,12185232243,23.45,2,1
0,2025-12-01 00:07:59.865685,12185232243,23.61,2,0
0,2025-12-01 00:08:56.344139,121846591,21.69,2,1
0,2025-12-01 00:07:37.132268,121846591,21.4,1,1
0,2025-12-01 00:19:01.609782,121846591,21.79,1,1
0,2025-12-01 00:19:07.285662,121846591,21.96,1,1
0,2025-12-01 00:19:24.576853,121846591,21.99,1,1
0,2025-12-01 00:19:34.540998,121846591,22.13,1,1
0,2025-12-01 00:19:45.155393,121846591,21.63,1,1
0,2025-12-01 00:19:56.095908,121846591,22.03,1,1
0,2025-12-01 00:20:05.634072,121846591,21.79,1,1
0,2025-12-01 00:20:20.515621,121846591,22.05,1,1
0,2025-12-01 00:20:29.736280,121846591,22.06,1,1
0,2025-12-01 00:24:27.054021,12183203214,23.23,1,1
0,2025-12-01 00:24:32.905578,12183203214,23.54,1,2
0,2025-12-01 00:26:00.062818,12183203214,23.63,1,1
0,2025-12-01 00:26:09.251153,12183203214,24.27,1,2
0,2025-12-01 00:26:16.768602,12183203214,23.65,1,1
0,2025-12-01 00:27:52.928501,12183221192,23.57,1,1
0,2025-12-01 00:09:02.516494,121846591,22.21,2,1
0,2025-12-01 00:28:00.634638,12183221192,23.29,1,0
0,2025-12-01 00:28:08.907946,12185143148,23.58,2,1
0,2025-12-01 00:28:09.940691,12183221192,23.77,1,0
0,2025-12-01 00:28:14.041457,12185143148,23.71,2,1
0,2025-12-01 00:28:22.367083,12185143148,23.63,2,1
0,2025-12-01 00:28:32.199886,12185143148,23.51,2,1
0,2025-12-01 00:28:40.343743,12185143148,23.8,2,1
0,2025-12-01 00:28:49.265578,12185143148,23.59,2,1
0,2025-12-01 00:28:58.738164,12185143148,23.66,2,1
0,2025-12-01 00:29:35.676032,12183203214,23.63,2,1
0,2025-12-01 00:29:41.495511,12183203214,23.71,2,1
0,2025-12-01 00:29:46.933968,12183203214,23.79,2,1
0,2025-12-01 00:29:53.737216,12183203214,24.03,2,1
0,2025-12-01 00:30:01.520933,12183203214,23.75,2,1
0,2025-12-01 00:30:10.550544,12183203214,23.76,2,1
0,2025-12-01 00:30:20.971486,12183203214,23.73,2,1
0,2025-12-01 00:28:14.414243,12183221192,24.08,1,1
0,2025-12-01 00:48:23.643060,12183221192,23.86,1,1
0,2025-12-01 01:03:23.757705,12185143148,23.86,1,8
0,2025-12-01 01:05:42.859792,12183221192,23.43,1,1
0,2025-12-01 00:30:28.443538,12183203214,24.09,2,1
0,2025-12-01 01:05:52.198369,12183221192,23.41,1,0
0,2025-12-01 01:05:53.576682,12183203214,24.05,2,1
0,2025-12-01 01:05:58.075858,12183221192,23.63,1,0
0,2025-12-01 01:05:58.700437,12183203214,23.75,2,1
0,2025-12-01 01:06:05.830589,12183203214,23.66,2,1
0,2025-12-01 01:06:11.652870,12183203214,23.81,2,1
0,2025-12-01 01:06:21.658774,12183203214,23.76,2,1
0,2025-12-01 01:06:30.035785,12183203214,23.88,2,1
0,2025-12-01 01:06:38.235906,12183203214,23.95,2,1
0,2025-12-01 01:06:45.468220,12183203214,23.97,2,1
0,2025-12-01 01:06:55.675417,12183203214,23.75,2,1
0,2025-12-01 01:07:03.806474,12183203214,23.76,2,1
0,2025-12-01 01:06:03.594279,12183221192,23.0,1,0
0,2025-12-01 01:07:11.439859,12183203214,23.43,2,0
0,2025-12-01 01:19:46.199678,12185143148,23.78,2,0
0,2025-12-01 01:21:35.008559,12183203214,24.01,2,2
0,2025-12-01 01:21:51.606712,12183203214,23.93,2,1
0,2025-12-01 01:21:58.551096,12183203214,22.77,2,0
0,2025-12-01 01:22:14.161631,12185143148,23.66,2,1
0,2025-12-01 01:22:19.382785,12185143148,23.41,2,1
0,2025-12-01 01:22:35.117306,12185143148,23.8,2,0
