Mode,Start_Time,Animal,Unit
0,2025-12-07 00:12:53.850057,12183203214,4
0,2025-12-07 00:13:00.619400,12183203214,3
OPEN,2025-12-07 00:13:20.619948,0,0
0,2025-12-07 00:25:03.494647,12183203214,3
0,2025-12-07 00:25:07.450478,12183203214,4
solo,2025-12-07 00:25:07.916134,0,0
OPEN,2025-12-07 00:25:27.916833,0,0
0,2025-12-07 01:31:19.904827,12185232243,4
0,2025-12-07 01:31:26.263104,12185232243,3
OPEN,2025-12-07 01:31:46.263735,0,0
0,2025-12-07 01:39:58.353906,12185232243,3
0,2025-12-07 01:40:02.748443,12185232243,4
solo,2025-12-07 01:40:03.369836,0,0
OPEN,2025-12-07 01:40:23.370479,0,0
0,2025-12-07 02:13:08.035651,121846591,4
1,2025-12-07 02:13:10.026702,121846591,4
0,2025-12-07 02:13:17.316346,121846591,3
solo,2025-12-07 02:13:17.318643,0,0
OPEN,2025-12-07 02:13:37.319300,0,0
0,2025-12-07 02:28:59.950324,121846591,3
0,2025-12-07 02:29:06.018620,121846591,4
solo,2025-12-07 02:29:06.020491,0,0
OPEN,2025-12-07 02:29:26.021135,0,0
0,2025-12-07 03:14:25.147387,12183203214,4
1,2025-12-07 03:14:26.322710,12183203214,4
0,2025-12-07 03:14:30.394885,12183203214,3
OPEN,2025-12-07 03:14:50.395497,0,0
0,2025-12-07 03:21:29.166860,12183221192,3
OPEN,2025-12-07 03:21:49.167441,0,0
0,2025-12-07 03:35:30.031158,12185143148,4
1,2025-12-07 03:35:31.206306,12185143148,4
0,2025-12-07 03:35:36.529987,12185143148,3
OPEN,2025-12-07 03:35:56.531060,0,0
0,2025-12-07 03:38:30.352751,12183203214,3
0,2025-12-07 03:38:33.646107,12183203214,4
solo,2025-12-07 03:38:36.013612,0,0
OPEN,2025-12-07 03:38:56.014258,0,0
0,2025-12-07 03:50:23.496720,12185143148,3
0,2025-12-07 03:50:27.934073,12185143148,4
solo,2025-12-07 03:50:27.935973,0,0
OPEN,2025-12-07 03:50:47.936545,0,0
0,2025-12-07 03:55:00.916416,12185232243,4
1,2025-12-07 03:55:02.026470,12185232243,4
0,2025-12-07 03:55:05.524983,12185232243,3
OPEN,2025-12-07 03:55:25.525548,0,0
0,2025-12-07 03:55:44.492788,12183221192,3
OPEN,2025-12-07 03:56:04.493382,0,0
0,2025-12-07 04:01:19.576330,12183221192,3
OPEN,2025-12-07 04:01:39.576869,0,0
0,2025-12-07 04:01:43.262040,12185143148,3
OPEN,2025-12-07 04:02:03.262662,0,0
0,2025-12-07 04:03:22.441974,12185232243,3
0,2025-12-07 04:03:30.483478,12185232243,4
solo,2025-12-07 04:03:30.485554,0,0
OPEN,2025-12-07 04:03:50.486169,0,0
0,2025-12-07 04:14:01.378431,12185232243,4
0,2025-12-07 04:14:05.512567,12185232243,3
OPEN,2025-12-07 04:14:25.513216,0,0
0,2025-12-07 04:19:57.261655,12185143148,3
0,2025-12-07 04:20:01.223708,12185143148,4
solo,2025-12-07 04:20:01.680175,0,0
OPEN,2025-12-07 04:20:21.681057,0,0
0,2025-12-07 04:37:18.626522,12185232243,3
0,2025-12-07 04:37:21.618113,12185232243,4
solo,2025-12-07 04:37:21.619783,0,0
OPEN,2025-12-07 04:37:41.620396,0,0
0,2025-12-07 04:43:02.369520,12183221192,3
OPEN,2025-12-07 04:43:22.370146,0,0
0,2025-12-07 04:55:26.157977,12183221192,3
OPEN,2025-12-07 04:55:46.158628,0,0
0,2025-12-07 05:37:15.276648,12183221192,3
OPEN,2025-12-07 05:37:35.277247,0,0
0,2025-12-07 06:49:19.288223,12183203214,4
0,2025-12-07 06:49:23.477922,12183203214,3
solo,2025-12-07 06:49:23.480107,0,0
OPEN,2025-12-07 06:49:43.480917,0,0
0,2025-12-07 06:55:26.561984,12185143148,4
0,2025-12-07 06:55:31.864182,12185143148,3
OPEN,2025-12-07 06:55:51.864838,0,0
0,2025-12-07 07:10:47.062757,121846591,4
0,2025-12-07 07:10:56.420040,121846591,3
solo,2025-12-07 07:10:56.421919,0,0
OPEN,2025-12-07 07:11:16.422606,0,0
0,2025-12-07 07:12:53.029917,12183203214,3
0,2025-12-07 07:12:56.551058,12183203214,4
solo,2025-12-07 07:12:56.552956,0,0
OPEN,2025-12-07 07:13:16.553560,0,0
0,2025-12-07 07:13:50.965698,12185143148,3
0,2025-12-07 07:13:54.983765,12185143148,4
solo,2025-12-07 07:13:54.985481,0,0
OPEN,2025-12-07 07:14:14.986084,0,0
0,2025-12-07 07:23:55.583430,12183203214,4
1,2025-12-07 07:23:56.921927,12183203214,4
0,2025-12-07 07:24:02.875858,12183203214,3
solo,2025-12-07 07:24:02.877799,0,0
OPEN,2025-12-07 07:24:22.878416,0,0
0,2025-12-07 07:29:47.486205,12185143148,4
0,2025-12-07 07:29:52.728525,12185143148,3
solo,2025-12-07 07:29:52.730255,0,0
OPEN,2025-12-07 07:30:12.730928,0,0
0,2025-12-07 07:30:29.630440,12185232243,4
