Mode,Start_Time,Animal,Weight,Unit,Pellets
2,2025-12-18 23:12:29.885089,12184240234,19.11,2,0
2,2025-12-19 00:02:48.145569,12184240234,19.11,2,0
2,2025-12-19 00:02:50.334220,12184240234,18.9,2,0
2,2025-12-19 00:02:55.340421,12184240234,19.13,2,0
2,2025-12-19 00:05:04.834837,12184240234,19.08,2,0
2,2025-12-19 00:05:08.853034,12184240234,18.96,2,0
2,2025-12-19 00:05:16.007628,12184240234,18.6,2,0
2,2025-12-19 00:05:17.251253,12184240234,19.17,2,1
2,2025-12-19 00:05:21.792362,12184240234,18.82,2,0
2,2025-12-19 00:05:31.178337,12184255229,19.22,2,0
2,2025-12-19 00:05:35.054803,12184255229,19.31,2,0
2,2025-12-19 00:06:00.651799,12184240234,18.92,2,0
2,2025-12-19 00:06:04.147192,12184240234,18.95,2,1
2,2025-12-18 23:59:40.935181,121856491,21.09,1,0
2,2025-12-19 00:06:09.734152,12184240234,18.8,2,0
2,2025-12-19 00:06:12.382127,12184240234,18.63,2,0
2,2025-12-19 00:06:17.314672,12184240234,18.84,2,0
2,2025-12-19 00:06:10.392612,12184255229,18.91,1,0
2,2025-12-19 00:07:16.402903,121856491,20.98,1,0
2,2025-12-19 00:07:41.125035,12184255229,17.46,1,0
2,2025-12-19 00:06:33.165883,121856491,21.24,2,0
2,2025-12-19 00:08:13.349734,12184255229,19.17,1,0
2,2025-12-19 00:08:25.094658,12184240234,18.9,2,0
2,2025-12-19 00:16:13.181187,121858776,19.45,1,0
2,2025-12-19 00:17:21.883398,121858776,19.01,1,0
2,2025-12-19 00:17:39.676640,121858776,18.86,1,0
2,2025-12-19 00:17:41.080635,121858776,19.1,1,0
2,2025-12-19 00:18:35.140601,121858776,19.07,1,4
2,2025-12-19 00:20:13.978526,121858776,19.17,1,0
2,2025-12-19 00:20:31.259122,121856491,20.96,1,8
2,2025-12-19 00:22:45.019250,121858776,18.8,1,1
2,2025-12-19 00:23:06.011889,1102000232,19.11,1,0
2,2025-12-19 00:23:06.217865,121858776,18.87,1,1
2,2025-12-19 00:23:28.833343,121858776,19.63,1,1
2,2025-12-19 00:23:51.974710,121856491,21.15,1,3
2,2025-12-19 00:26:52.354063,121858776,19.17,1,1
2,2025-12-19 00:27:10.571601,121858776,19.42,1,1
2,2025-12-19 00:27:12.792398,121858776,19.46,1,0
2,2025-12-19 00:27:13.575363,121858776,19.43,1,0
2,2025-12-19 00:27:14.097685,121858776,19.47,1,0
2,2025-12-19 00:27:14.619982,121858776,19.45,1,0
2,2025-12-19 00:27:15.534284,121858776,19.43,1,0
2,2025-12-19 00:27:16.121793,121858776,19.52,1,0
2,2025-12-19 00:27:18.146003,121858776,19.49,1,0
2,2025-12-19 00:27:18.929733,121858776,19.48,1,0
2,2025-12-19 00:27:20.562027,121858776,19.52,1,0
2,2025-12-19 00:27:22.749704,121858776,19.49,1,0
2,2025-12-19 00:27:23.304288,121858776,19.42,1,0
2,2025-12-19 00:32:43.485215,121858776,19.3,1,1
2,2025-12-19 00:33:00.233747,121858776,19.65,1,1
2,2025-12-19 00:33:17.472175,121858776,19.62,1,1
2,2025-12-19 00:33:32.294477,121858776,19.81,1,1
2,2025-12-19 00:33:38.725980,1102000232,19.72,1,0
2,2025-12-19 00:33:38.932027,121858776,19.65,1,0
2,2025-12-19 00:33:41.860754,121858776,19.77,1,0
2,2025-12-19 00:33:46.823255,121858776,19.57,1,0
2,2025-12-19 00:33:52.438511,121858776,19.41,1,1
2,2025-12-19 00:34:09.840577,121858776,19.59,1,1
2,2025-12-19 00:40:37.835172,121858776,19.49,1,1
2,2025-12-19 00:40:56.314103,121858776,19.43,1,1
2,2025-12-19 00:50:07.609829,121856491,21.19,1,5
2,2025-12-19 00:51:24.254654,121856491,19.82,1,0
2,2025-12-19 00:51:27.865858,121856491,19.89,1,0
2,2025-12-19 00:51:41.559334,121858776,18.91,1,1
2,2025-12-19 00:51:56.381658,121858776,19.8,1,1
2,2025-12-19 00:51:59.680852,121858776,20.04,1,0
2,2025-12-19 00:52:08.657404,121858776,19.66,1,0
2,2025-12-19 00:52:12.771164,121858776,19.95,1,0
2,2025-12-19 00:52:18.778517,121858776,19.81,1,1
2,2025-12-19 00:52:33.186952,121856491,21.86,1,1
2,2025-12-19 00:53:35.633558,121858776,19.76,1,1
2,2025-12-19 00:53:38.311200,121858776,19.94,1,0
2,2025-12-19 00:53:55.385545,121858776,20.12,1,1
2,2025-12-19 00:54:56.504134,1102000232,21.18,1,0
2,2025-12-19 00:54:56.711180,121856491,21.65,1,5
2,2025-12-19 00:58:16.650677,121858776,19.56,1,1
2,2025-12-19 00:58:39.015702,121858776,20.39,1,1
2,2025-12-19 01:10:26.576224,121858776,19.98,1,1
2,2025-12-19 01:10:44.141198,121858776,19.89,1,1
2,2025-12-19 01:10:47.732771,121858075,20.01,1,0
2,2025-12-19 01:10:48.091757,121858776,20.14,1,0
2,2025-12-19 01:10:52.956659,121858075,20.05,1,0
2,2025-12-19 01:10:53.413180,121858776,20.03,1,0
2,2025-12-19 01:10:55.143734,121858776,20.04,1,0
2,2025-12-19 01:10:58.605448,121858776,20.07,1,1
2,2025-12-19 01:15:32.528348,12184240234,18.73,1,1
2,2025-12-19 01:15:51.444019,12184255229,19.18,1,1
2,2025-12-19 01:18:10.867620,12184240234,18.4,1,1
2,2025-12-19 01:19:30.836899,12184240234,18.61,1,1
2,2025-12-19 00:16:52.218784,121858776,19.27,2,0
2,2025-12-19 01:20:28.281354,12184240234,18.39,2,0
2,2025-12-19 01:19:54.866947,12184255229,18.6,1,1
2,2025-12-19 01:20:34.929636,12184255229,19.23,1,0
2,2025-12-19 01:20:46.519469,12184255229,10.39,1,0
2,2025-12-19 01:21:51.258640,12184178168,19.48,1,1
2,2025-12-19 01:21:57.397324,12184178168,30.67,1,0
2,2025-12-19 01:22:06.213712,1102000232,18.57,1,0
2,2025-12-19 01:22:06.420109,12184240234,18.42,1,1
2,2025-12-19 01:22:21.421122,12184240234,18.67,1,1
