Mode,Start_Time,Animal,Unit
0,2025-12-20 00:03:00.971728,121858776,4
0,2025-12-20 00:03:02.410345,121858776,3
OPEN,2025-12-20 00:03:22.411130,0,0
0,2025-12-20 00:05:51.442090,121858776,3
0,2025-12-20 00:05:53.844485,121858776,4
solo,2025-12-20 00:05:54.050102,0,0
OPEN,2025-12-20 00:06:14.050757,0,0
0,2025-12-20 00:18:43.000754,12184178168,4
0,2025-12-20 00:18:45.231179,12184178168,3
OPEN,2025-12-20 00:19:05.232155,0,0
0,2025-12-20 00:21:47.191316,12184178168,3
0,2025-12-20 00:21:49.916337,12184178168,4
solo,2025-12-20 00:21:50.375495,0,0
OPEN,2025-12-20 00:22:10.376591,0,0
0,2025-12-20 00:23:04.618681,12184178168,4
0,2025-12-20 00:23:06.166852,12184178168,3
OPEN,2025-12-20 00:23:26.167852,0,0
0,2025-12-20 00:23:27.429376,12184178168,3
0,2025-12-20 00:23:29.344327,12184178168,4
solo,2025-12-20 00:23:29.740156,0,0
OPEN,2025-12-20 00:23:49.741108,0,0
0,2025-12-20 00:38:33.031274,121856491,4
0,2025-12-20 00:38:34.967642,121856491,3
OPEN,2025-12-20 00:38:54.968609,0,0
0,2025-12-20 00:43:12.467034,121856491,3
0,2025-12-20 00:43:13.873364,121856491,4
solo,2025-12-20 00:43:14.061048,0,0
OPEN,2025-12-20 00:43:34.061739,0,0
0,2025-12-20 00:43:44.746230,121856491,4
0,2025-12-20 00:43:46.793359,121856491,3
OPEN,2025-12-20 00:44:06.794013,0,0
0,2025-12-20 00:47:33.235861,121858776,4
0,2025-12-20 00:47:34.732731,121858776,3
OPEN,2025-12-20 00:47:54.733378,0,0
0,2025-12-20 00:50:48.743074,12184240234,4
0,2025-12-20 00:50:49.976210,12184240234,3
solo,2025-12-20 00:50:49.978398,0,0
OPEN,2025-12-20 00:51:09.979387,0,0
0,2025-12-20 00:53:38.754159,121858776,3
0,2025-12-20 00:53:39.792574,121858776,4
solo,2025-12-20 00:53:39.894468,0,0
OPEN,2025-12-20 00:53:59.895268,0,0
0,2025-12-20 00:54:04.775468,121856491,4
OPEN,2025-12-20 00:54:24.776213,0,0
0,2025-12-20 00:54:26.609151,121858776,4
0,2025-12-20 00:54:27.636319,121858776,3
OPEN,2025-12-20 00:54:47.636979,0,0
0,2025-12-20 00:54:59.174621,121856491,4
0,2025-12-20 00:55:00.779516,121856491,3
OPEN,2025-12-20 00:55:20.780532,0,0
0,2025-12-20 00:55:33.768260,12184240234,3
0,2025-12-20 00:55:34.993410,12184240234,4
solo,2025-12-20 00:55:35.241318,0,0
OPEN,2025-12-20 00:55:55.242046,0,0
0,2025-12-20 01:00:51.345438,121856491,4
OPEN,2025-12-20 01:01:11.346188,0,0
0,2025-12-20 01:01:19.559788,121856491,4
0,2025-12-20 01:01:20.820005,121856491,3
OPEN,2025-12-20 01:01:40.820756,0,0
0,2025-12-20 01:03:05.707007,12184255229,4
0,2025-12-20 01:03:06.935021,12184255229,3
OPEN,2025-12-20 01:03:26.935776,0,0
0,2025-12-20 01:03:27.834864,121858776,3
0,2025-12-20 01:03:30.506604,121858776,4
solo,2025-12-20 01:03:31.225102,0,0
1,2025-12-20 01:03:32.033705,121856491,4
OPEN,2025-12-20 01:03:52.036292,0,0
0,2025-12-20 01:03:54.884939,121856491,4
0,2025-12-20 01:04:00.344245,121856491,3
1,2025-12-20 01:04:01.730179,121856491,4
solo,2025-12-20 01:04:01.846358,0,0
OPEN,2025-12-20 01:04:21.846992,0,0
0,2025-12-20 01:04:26.762289,121856491,4
0,2025-12-20 01:04:27.916576,121856491,3
1,2025-12-20 01:04:30.828800,121856491,3
1,2025-12-20 01:04:31.758108,121856491,4
solo,2025-12-20 01:04:31.827498,0,0
OPEN,2025-12-20 01:04:51.828221,0,0
0,2025-12-20 01:04:57.329875,121856491,4
0,2025-12-20 01:04:58.703467,121856491,3
OPEN,2025-12-20 01:05:18.704165,0,0
0,2025-12-20 01:05:45.834744,121858776,3
1,2025-12-20 01:05:46.487626,121858776,3
0,2025-12-20 01:05:49.028444,121858776,4
solo,2025-12-20 01:05:49.197339,0,0
OPEN,2025-12-20 01:06:09.198254,0,0
0,2025-12-20 01:06:11.827133,121858776,4
1,2025-12-20 01:06:13.405501,12184178168,4
followerB,2025-12-20 01:06:13.407320,0,0
0,2025-12-20 01:06:14.280574,121858776,3
1,2025-12-20 01:06:16.418982,12184178168,3
2,2025-12-20 01:06:18.155743,12184240234,4
followerB,2025-12-20 01:06:18.157500,0,0
2,2025-12-20 01:06:20.050246,12184240234,3
3,2025-12-20 01:06:25.186222,121858776,3
3,2025-12-20 01:06:33.736886,121858776,4
sequence,2025-12-20 01:06:38.948012,0,0
4,2025-12-20 01:06:43.191393,12184178168,3
5,2025-12-20 01:06:44.922225,12184178168,3
4,2025-12-20 01:06:47.914926,12184178168,4
5,2025-12-20 01:06:51.735624,12184178168,4
6,2025-12-20 01:06:52.569941,121856491,3
6,2025-12-20 01:06:53.724655,121856491,4
OPEN,2025-12-20 01:07:13.729272,0,0
0,2025-12-20 01:07:18.468817,12184178168,4
0,2025-12-20 01:07:22.047822,12184178168,3
1,2025-12-20 01:07:28.318343,12184255229,3
1,2025-12-20 01:07:30.103033,12184255229,4
followerB,2025-12-20 01:07:30.104692,0,0
sequence,2025-12-20 01:07:31.285989,0,0
OPEN,2025-12-20 01:07:51.286673,0,0
0,2025-12-20 01:07:55.751387,121858776,4
0,2025-12-20 01:07:58.931865,121858776,3
OPEN,2025-12-20 01:08:18.932579,0,0
0,2025-12-20 01:09:22.669021,12184255229,4
0,2025-12-20 01:09:25.217155,12184255229,3
OPEN,2025-12-20 01:09:45.217854,0,0
0,2025-12-20 01:10:19.312257,12184240234,3
0,2025-12-20 01:10:20.847866,12184240234,4
solo,2025-12-20 01:10:21.111066,0,0
OPEN,2025-12-20 01:10:41.111806,0,0
0,2025-12-20 01:12:20.767759,12184178168,3
0,2025-12-20 01:12:22.517285,12184178168,4
solo,2025-12-20 01:12:22.518985,0,0
OPEN,2025-12-20 01:12:42.519836,0,0
0,2025-12-20 01:14:01.712934,121856491,4
0,2025-12-20 01:14:04.921990,121856491,3
1,2025-12-20 01:14:12.433706,12184178168,4
followerB,2025-12-20 01:14:12.436007,0,0
1,2025-12-20 01:14:15.660479,12184178168,3
OPEN,2025-12-20 01:14:35.661348,0,0
0,2025-12-20 01:14:56.389450,12184255229,3
0,2025-12-20 01:14:57.733940,12184255229,4
solo,2025-12-20 01:14:58.044265,0,0
OPEN,2025-12-20 01:15:18.046213,0,0
0,2025-12-20 01:16:32.502273,121858776,3
0,2025-12-20 01:16:34.942455,12184255229,4
1,2025-12-20 01:16:48.070581,121858776,3
2,2025-12-20 01:16:48.751680,12184255229,3
OPEN,2025-12-20 01:17:08.752265,0,0
0,2025-12-20 01:17:09.846011,12184255229,4
OPEN,2025-12-20 01:17:29.846434,0,0
0,2025-12-20 01:17:35.494013,12184255229,4
1,2025-12-20 01:17:36.359512,121858776,4
followerB,2025-12-20 01:17:36.361244,0,0
0,2025-12-20 01:17:39.186078,12184255229,3
1,2025-12-20 01:17:39.713861,121858776,3
OPEN,2025-12-20 01:17:59.714521,0,0
0,2025-12-20 01:18:54.621606,12184178168,3
0,2025-12-20 01:18:58.274349,12184178168,4
solo,2025-12-20 01:18:59.156423,0,0
OPEN,2025-12-20 01:19:19.157305,0,0
0,2025-12-20 01:22:29.102219,12184255229,3
0,2025-12-20 01:22:31.808934,12184255229,4
solo,2025-12-20 01:22:31.810580,0,0
OPEN,2025-12-20 01:22:51.811509,0,0
0,2025-12-20 01:28:35.704985,121856491,3
0,2025-12-20 01:28:37.230187,121856491,4
solo,2025-12-20 01:28:37.231806,0,0
OPEN,2025-12-20 01:28:57.232632,0,0
0,2025-12-20 01:29:02.596917,12184178168,4
0,2025-12-20 01:29:09.122528,12184178168,3
solo,2025-12-20 01:29:09.645052,0,0
OPEN,2025-12-20 01:29:29.645718,0,0
0,2025-12-20 01:29:31.189600,121856491,4
0,2025-12-20 01:29:33.053387,121856491,3
1,2025-12-20 01:29:40.182517,121856491,3
1,2025-12-20 01:29:41.115477,121856491,4
solo,2025-12-20 01:29:41.213615,0,0
2,2025-12-20 01:29:50.816917,12184178168,3
3,2025-12-20 01:29:53.462098,12184178168,3
2,2025-12-20 01:29:56.208405,12184178168,4
OPEN,2025-12-20 01:30:16.210462,0,0
0,2025-12-20 01:30:18.562779,12184178168,4
0,2025-12-20 01:30:20.724260,12184178168,3
