Mode,Start_Time,Animal,Unit
OPEN,2025-12-18 00:00:15.751570,0,0
0,2025-12-18 00:08:22.077983,121846591,3
0,2025-12-18 00:08:26.221472,121846591,4
solo,2025-12-18 00:08:27.074844,0,0
OPEN,2025-12-18 00:08:47.075376,0,0
0,2025-12-18 00:08:55.308695,12185232243,3
0,2025-12-18 00:08:58.873222,12185232243,4
1,2025-12-18 00:09:01.820985,12185143148,3
followerA,2025-12-18 00:09:01.822594,0,0
1,2025-12-18 00:09:08.232897,12185143148,4
OPEN,2025-12-18 00:09:28.233460,0,0
0,2025-12-18 00:34:26.888184,121846591,4
0,2025-12-18 00:34:32.150650,121846591,3
solo,2025-12-18 00:34:32.700877,0,0
OPEN,2025-12-18 00:34:52.701494,0,0
0,2025-12-18 00:58:31.706879,121846591,3
0,2025-12-18 00:58:38.938282,121846591,4
OPEN,2025-12-18 00:58:58.938703,0,0
0,2025-12-18 03:23:10.296411,12183221192,4
1,2025-12-18 03:23:11.634683,12183221192,4
0,2025-12-18 03:23:17.694364,12183221192,3
OPEN,2025-12-18 03:23:37.695052,0,0
0,2025-12-18 03:30:37.470010,12185232243,4
0,2025-12-18 03:30:43.136533,12185232243,3
solo,2025-12-18 03:30:43.138276,0,0
OPEN,2025-12-18 03:31:03.138927,0,0
0,2025-12-18 03:31:59.591533,12183221192,3
0,2025-12-18 03:32:07.195196,12183221192,4
OPEN,2025-12-18 03:32:27.195622,0,0
0,2025-12-18 03:34:50.424595,12185232243,3
0,2025-12-18 03:34:52.878972,12183203214,4
1,2025-12-18 03:34:55.426028,12183203214,4
start Lindzey,2025-12-18 03:34:57.962146,0,0
2,2025-12-18 03:35:14.258150,12185232243,4
End Lindzey,2025-12-18 03:35:24.259940,0,0
OPEN,2025-12-18 03:35:34.260302,0,0
0,2025-12-18 03:39:17.116939,12183203214,4
1,2025-12-18 03:39:18.915023,12183203214,4
OPEN,2025-12-18 03:39:38.915417,0,0
0,2025-12-18 03:40:04.378624,12183203214,4
OPEN,2025-12-18 03:40:24.379004,0,0
0,2025-12-18 03:40:47.735128,12183203214,4
1,2025-12-18 03:40:55.341506,12183203214,4
0,2025-12-18 03:41:01.369375,12183203214,3
solo,2025-12-18 03:41:01.371357,0,0
OPEN,2025-12-18 03:41:21.371928,0,0
0,2025-12-18 03:45:55.832785,12183203214,3
0,2025-12-18 03:46:05.841899,12183203214,4
solo,2025-12-18 03:46:05.843661,0,0
1,2025-12-18 03:46:07.539638,12183203214,4
OPEN,2025-12-18 03:46:27.541795,0,0
0,2025-12-18 03:51:33.385904,12183203214,4
1,2025-12-18 03:51:34.920172,12183203214,4
OPEN,2025-12-18 03:51:54.920629,0,0
0,2025-12-18 03:53:05.113135,121846591,4
1,2025-12-18 03:53:06.647245,121846591,4
0,2025-12-18 03:53:11.584888,121846591,3
solo,2025-12-18 03:53:11.586562,0,0
OPEN,2025-12-18 03:53:31.587361,0,0
0,2025-12-18 03:56:00.254926,12183221192,4
1,2025-12-18 03:56:01.626051,12183221192,4
0,2025-12-18 03:56:07.311271,12183221192,3
solo,2025-12-18 03:56:07.313563,0,0
OPEN,2025-12-18 03:56:27.314274,0,0
0,2025-12-18 03:56:41.554927,12183203214,3
1,2025-12-18 03:56:43.774672,121846591,3
followerA,2025-12-18 03:56:43.776397,0,0
sequence,2025-12-18 03:56:45.115829,0,0
0,2025-12-18 03:56:45.575668,12183203214,4
1,2025-12-18 03:56:46.815513,121846591,4
OPEN,2025-12-18 03:57:06.817779,0,0
0,2025-12-18 04:00:35.576144,12185143148,4
0,2025-12-18 04:00:42.407897,12185143148,3
solo,2025-12-18 04:00:42.410310,0,0
OPEN,2025-12-18 04:01:02.411027,0,0
0,2025-12-18 04:02:55.555525,12183221192,3
0,2025-12-18 04:03:02.811022,12183221192,4
solo,2025-12-18 04:03:02.812750,0,0
OPEN,2025-12-18 04:03:22.813347,0,0
0,2025-12-18 04:03:39.609758,12185143148,3
OPEN,2025-12-18 04:03:59.610408,0,0
0,2025-12-18 04:11:51.276455,121846591,4
0,2025-12-18 04:11:58.111026,121846591,3
solo,2025-12-18 04:11:59.896248,0,0
OPEN,2025-12-18 04:12:19.896915,0,0
0,2025-12-18 04:13:28.194129,121846591,3
0,2025-12-18 04:13:33.352538,121846591,4
OPEN,2025-12-18 04:13:53.350789,0,0
0,2025-12-18 04:23:20.430486,121846591,4
0,2025-12-18 04:23:25.033464,121846591,3
OPEN,2025-12-18 04:23:45.034078,0,0
0,2025-12-18 04:29:17.467518,121846591,3
0,2025-12-18 04:29:27.273789,121846591,4
1,2025-12-18 04:29:29.559229,121846591,4
solo,2025-12-18 04:29:30.046581,0,0
OPEN,2025-12-18 04:29:50.047205,0,0
