Mode,Start_Time,Animal,Weight,Unit,Pellets
2,2025-12-18 23:51:05.595781,121846591,26.21,1,1
2,2025-12-19 00:04:32.480428,12183221192,27.28,1,1
2,2025-12-19 00:04:41.583419,12183221192,27.09,1,1
2,2025-12-19 00:04:51.418722,12183221192,27.06,1,1
2,2025-12-19 00:04:59.464179,12183221192,26.88,1,1
2,2025-12-19 00:05:08.920096,12183221192,27.27,1,2
2,2025-12-19 00:05:17.558114,12183221192,27.68,1,0
2,2025-12-19 00:11:11.722927,12185232243,25.69,1,1
2,2025-12-19 00:11:17.056132,12185232243,24.96,1,0
2,2025-12-19 00:42:31.324635,12185232243,25.66,1,1
2,2025-12-19 00:42:39.291345,12185232243,26.07,1,1
2,2025-12-19 00:42:50.448347,12185232243,26.11,1,1
2,2025-12-19 00:42:59.727328,12185232243,26.16,1,1
2,2025-12-19 00:43:06.637452,12185232243,26.12,1,1
2,2025-12-19 00:43:11.630211,12185232243,26.2,1,0
2,2025-12-19 00:43:12.896412,12185232243,26.12,1,0
2,2025-12-19 00:43:18.975511,12185232243,26.22,1,1
2,2025-12-19 00:43:32.032459,12185232243,26.2,1,1
2,2025-12-19 01:15:54.227097,121846591,24.92,1,1
2,2025-12-19 01:16:01.781072,121846591,25.46,1,1
2,2025-12-19 01:16:11.673255,121846591,25.3,1,1
2,2025-12-19 01:16:20.788908,121846591,25.35,1,1
2,2025-12-19 01:16:31.187263,121846591,25.23,1,1
2,2025-12-19 01:16:41.814340,121846591,25.47,1,1
2,2025-12-19 01:16:52.700139,121846591,25.54,1,1
2,2025-12-19 01:17:03.659804,121846591,25.5,1,1
2,2025-12-19 01:17:13.331343,121846591,25.58,1,1
2,2025-12-19 01:17:23.463583,121846591,25.27,1,2
