Mode,Start_Time,Animal,Unit
0,2026-02-15 00:03:24.889995,12184315,4
0,2026-02-15 00:03:26.452357,12184315,3
solo,2026-02-15 00:03:26.481304,0,0
OPEN,2026-02-15 00:03:46.482331,0,0
0,2026-02-15 00:03:50.716430,12184315,3
0,2026-02-15 00:03:51.864208,12184315,4
solo,2026-02-15 00:03:51.866248,0,0
OPEN,2026-02-15 00:04:11.867293,0,0
0,2026-02-15 00:18:43.208786,12184315,4
0,2026-02-15 00:18:44.357477,12184315,3
solo,2026-02-15 00:18:44.385804,0,0
OPEN,2026-02-15 00:19:04.386417,0,0
0,2026-02-15 00:19:05.809940,12184315,3
0,2026-02-15 00:19:06.873175,12184315,4
solo,2026-02-15 00:19:06.874721,0,0
OPEN,2026-02-15 00:19:26.875781,0,0
0,2026-02-15 00:23:40.487606,12184315,4
0,2026-02-15 00:23:41.350659,12184315,3
solo,2026-02-15 00:23:41.352440,0,0
OPEN,2026-02-15 00:24:01.353352,0,0
0,2026-02-15 00:24:03.959547,12184315,3
0,2026-02-15 00:24:04.923150,12184315,4
solo,2026-02-15 00:24:04.924744,0,0
OPEN,2026-02-15 00:24:24.925379,0,0
0,2026-02-15 00:35:20.783152,12185629,4
0,2026-02-15 00:35:22.534898,12185629,3
solo,2026-02-15 00:35:22.562290,0,0
OPEN,2026-02-15 00:35:42.563407,0,0
0,2026-02-15 00:38:34.505490,12185629,3
0,2026-02-15 00:38:35.447755,12185629,4
solo,2026-02-15 00:38:35.449544,0,0
OPEN,2026-02-15 00:38:55.450609,0,0
0,2026-02-15 00:42:25.384595,121869167,4
0,2026-02-15 00:42:28.826763,121869167,3
solo,2026-02-15 00:42:28.856513,0,0
OPEN,2026-02-15 00:42:48.857743,0,0
0,2026-02-15 00:49:41.552250,121869167,3
0,2026-02-15 00:49:43.045110,121869167,4
solo,2026-02-15 00:49:43.046866,0,0
OPEN,2026-02-15 00:50:03.047907,0,0
0,2026-02-15 00:51:37.226595,12183100121,4
0,2026-02-15 00:51:40.069879,12183100121,3
solo,2026-02-15 00:51:40.071916,0,0
OPEN,2026-02-15 00:52:00.072892,0,0
0,2026-02-15 00:53:16.266645,12183100121,3
0,2026-02-15 00:53:19.216392,12183100121,4
solo,2026-02-15 00:53:19.218175,0,0
OPEN,2026-02-15 00:53:39.218801,0,0
0,2026-02-15 01:03:24.185328,12184315,4
0,2026-02-15 01:03:25.303029,12184315,3
solo,2026-02-15 01:03:25.304871,0,0
OPEN,2026-02-15 01:03:45.305552,0,0
0,2026-02-15 01:05:23.497566,12184315,3
0,2026-02-15 01:05:24.633722,12184315,4
solo,2026-02-15 01:05:24.635254,0,0
OPEN,2026-02-15 01:05:44.635876,0,0
0,2026-02-15 01:07:32.067758,12184315,4
0,2026-02-15 01:07:32.882531,12184315,3
solo,2026-02-15 01:07:32.884297,0,0
OPEN,2026-02-15 01:07:52.884905,0,0
0,2026-02-15 01:07:54.738163,12184315,3
0,2026-02-15 01:07:55.654153,12184315,4
solo,2026-02-15 01:07:55.655693,0,0
OPEN,2026-02-15 01:08:15.656304,0,0
0,2026-02-15 01:14:19.427889,12184315,4
0,2026-02-15 01:14:20.174271,12184315,3
solo,2026-02-15 01:14:20.176174,0,0
OPEN,2026-02-15 01:14:40.176818,0,0
0,2026-02-15 01:15:28.179143,12184315,3
0,2026-02-15 01:15:28.971971,12184315,4
solo,2026-02-15 01:15:28.973885,0,0
OPEN,2026-02-15 01:15:48.974544,0,0
0,2026-02-15 01:20:27.898554,121869167,4
0,2026-02-15 01:20:39.720641,121869167,3
solo,2026-02-15 01:20:39.722436,0,0
OPEN,2026-02-15 01:20:59.723542,0,0
0,2026-02-15 01:23:16.160093,121869167,3
0,2026-02-15 01:23:17.658013,121869167,4
solo,2026-02-15 01:23:17.659880,0,0
OPEN,2026-02-15 01:23:37.660499,0,0
0,2026-02-15 01:31:28.906699,121869167,4
0,2026-02-15 01:31:30.159580,121869167,3
solo,2026-02-15 01:31:30.161512,0,0
OPEN,2026-02-15 01:31:50.162341,0,0
0,2026-02-15 01:35:39.320600,121869167,3
0,2026-02-15 01:35:41.463510,121869167,4
solo,2026-02-15 01:35:41.465129,0,0
OPEN,2026-02-15 01:36:01.466168,0,0
