Mode,Start_Time,Animal,Weight,Unit,Pellets
1,2026-02-14 22:28:09.894140,12186196220,19.04,2,5
1,2026-02-15 01:12:44.852164,12183150139,17.33,2,3
1,2026-02-15 01:12:56.644489,12183150139,17.57,2,0
1,2026-02-15 01:13:02.165401,12183150139,17.51,2,0
1,2026-02-15 01:13:32.870568,12183150139,17.53,2,1
1,2026-02-15 01:13:35.615746,12183150139,17.67,2,0
1,2026-02-15 01:13:38.586831,12183150139,17.69,2,0
1,2026-02-15 01:13:41.787754,12183150139,17.51,2,1
1,2026-02-15 01:13:54.821566,12183150139,17.59,2,1
1,2026-02-15 01:14:03.967745,12183150139,17.64,2,0
1,2026-02-15 01:14:07.038288,12183150139,17.65,2,1
1,2026-02-15 01:14:19.712457,12183150139,17.72,2,0
1,2026-02-15 01:19:40.945032,121868476,18.07,2,1
1,2026-02-15 03:12:06.341012,121868476,19.35,2,4
1,2026-02-14 23:55:21.076018,12183150139,17.85,1,12
1,2026-02-15 03:37:56.134150,121868476,19.28,2,8
1,2026-02-15 03:41:07.335498,121853457,18.14,1,0
1,2026-02-15 03:47:55.197242,121853457,19.0,1,4
1,2026-02-15 03:57:44.751675,121853457,18.94,1,6
1,2026-02-15 03:41:58.823176,121853457,18.19,2,3
1,2026-02-15 04:03:41.440963,121868476,19.57,2,7
1,2026-02-15 04:08:04.562804,121857984,22.82,2,4
1,2026-02-15 04:08:41.441906,121857984,15.78,2,0
1,2026-02-15 04:08:59.664443,121853457,18.68,2,1
1,2026-02-15 04:11:31.135236,121857984,18.78,2,1
1,2026-02-15 04:11:33.846218,121857984,18.95,2,0
1,2026-02-15 04:11:47.892371,121857984,18.98,2,0
1,2026-02-15 04:11:49.166075,121857984,18.94,2,0
1,2026-02-15 04:11:50.309450,121857984,18.96,2,1
1,2026-02-15 04:11:55.275056,121857984,18.93,2,0
1,2026-02-15 04:11:59.455922,121857984,18.96,2,0
1,2026-02-15 04:12:01.480915,121857984,19.08,2,0
1,2026-02-15 04:19:48.479338,121857984,18.03,2,1
1,2026-02-15 04:19:51.321434,121857984,18.97,2,0
1,2026-02-15 04:19:54.947489,121857984,19.1,2,0
1,2026-02-15 04:20:00.565753,121857984,19.16,2,0
1,2026-02-15 04:20:11.998993,121857984,18.93,2,1
1,2026-02-15 04:20:20.459186,121857984,20.0,2,0
1,2026-02-15 04:20:31.280768,121857984,21.49,2,0
1,2026-02-15 04:20:56.290906,121853457,18.68,2,5
1,2026-02-15 04:28:43.916808,121868476,19.54,2,7
1,2026-02-15 03:59:34.681690,121868476,19.78,1,0
1,2026-02-15 04:31:24.524169,121857984,19.22,2,1
1,2026-02-15 04:31:35.173163,121857984,19.2,2,0
1,2026-02-15 04:31:36.251341,121857984,19.22,2,2
1,2026-02-15 04:31:42.751393,121857984,19.27,2,0
1,2026-02-15 04:31:50.232130,121857984,19.06,2,1
1,2026-02-15 04:31:53.302936,121857984,19.28,2,0
1,2026-02-15 04:31:56.993670,121857984,19.35,2,0
1,2026-02-15 04:32:00.750665,121857984,19.25,2,1
1,2026-02-15 04:32:02.974907,121857984,19.32,2,0
1,2026-02-15 04:32:06.009654,121857984,19.25,2,0
1,2026-02-15 04:32:10.059995,121857984,19.32,2,0
1,2026-02-15 04:32:14.208833,121857984,19.41,2,0
1,2026-02-15 04:31:31.385488,121853457,19.16,1,0
1,2026-02-15 04:57:50.776646,121857984,19.31,1,2
1,2026-02-15 04:32:15.487188,121857984,19.34,2,0
1,2026-02-15 04:58:19.055174,121857984,19.49,1,0
1,2026-02-15 05:15:51.318820,121868476,20.21,1,0
1,2026-02-15 05:11:12.408244,121868476,19.03,2,9
1,2026-02-15 05:33:54.881295,121868476,18.72,2,0
1,2026-02-15 05:37:44.689435,121857984,18.79,2,0
1,2026-02-15 05:37:57.657782,121857984,19.17,2,0
1,2026-02-15 05:37:59.748611,121857984,19.28,2,1
