Mode,Start_Time,Animal,Weight,Unit,Pellets
5,2026-02-21 23:59:09.940140,121865042,19.63,2,11
5,2026-02-22 00:18:18.226695,12185216195,18.7,2,5
5,2026-02-22 00:19:20.819498,121865042,20.32,2,0
5,2026-02-22 00:19:23.498328,121865042,20.34,2,6
5,2026-02-22 00:24:27.129026,12185225,19.64,2,4
5,2026-02-22 00:25:28.186038,12185225,20.05,2,1
5,2026-02-22 00:31:57.772252,12184215205,17.64,2,0
5,2026-02-22 00:32:09.392856,12184215205,17.64,2,1
5,2026-02-22 00:32:12.006344,12184215205,17.69,2,0
5,2026-02-22 00:32:21.827706,12183152133,19.58,2,7
5,2026-02-22 00:33:46.276222,12185225,19.71,2,4
5,2026-02-22 00:40:23.135291,12184215205,17.64,2,0
5,2026-02-22 00:40:30.323084,12184215205,17.71,2,0
5,2026-02-22 00:40:31.628609,12184215205,17.62,2,0
5,2026-02-22 00:40:33.622041,12184215205,17.79,2,3
5,2026-02-22 00:40:54.497145,12184215205,17.72,2,1
5,2026-02-22 00:42:10.318508,12185216195,18.65,2,10
5,2026-02-22 00:45:19.409010,12185225,20.16,2,7
5,2026-02-22 00:52:17.492209,12184215205,17.69,2,1
5,2026-02-22 00:52:26.934386,12184215205,17.53,2,5
5,2026-02-22 00:55:14.772880,12184215205,17.63,2,1
5,2026-02-22 00:55:25.389938,12184215205,17.69,2,0
5,2026-02-22 00:55:41.657261,121865042,20.3,2,7
5,2026-02-22 00:59:02.618665,121865042,20.57,2,8
5,2026-02-22 01:01:39.095345,12185216195,18.35,2,5
5,2026-02-22 01:06:52.655353,12184215205,17.86,2,1
5,2026-02-22 01:07:04.644137,12184215205,17.69,2,0
5,2026-02-22 01:07:08.923963,12184215205,17.71,2,0
5,2026-02-22 01:07:21.207254,12184215205,17.56,2,0
5,2026-02-22 01:07:24.049292,12184215205,17.87,2,0
5,2026-02-22 01:12:31.977171,121865042,20.35,2,5
5,2026-02-22 01:26:28.726926,12185225,19.96,2,1
5,2026-02-22 01:26:37.841517,12185225,19.91,2,6
5,2026-02-22 01:28:42.703619,12183152133,19.87,2,8
5,2026-02-22 01:30:09.753452,12184215205,17.66,2,1
5,2026-02-22 01:30:21.774901,12184215205,17.78,2,4
5,2026-02-22 01:42:03.585632,12185225,19.85,2,10
5,2026-02-22 01:45:01.560901,12184215205,17.86,2,0
5,2026-02-22 01:45:13.354752,12184215205,17.85,2,0
5,2026-02-22 01:45:16.130790,12184215205,18.16,2,0
5,2026-02-21 23:50:11.616473,12185225,15.66,1,0
5,2026-02-22 01:45:26.716257,12184215205,17.98,2,0
5,2026-02-22 01:50:05.896882,12185225,20.22,2,0
5,2026-02-22 01:49:11.708663,12185225,16.08,1,0
5,2026-02-22 01:50:16.157499,12185225,20.11,2,0
5,2026-02-22 01:55:11.514020,121865042,20.08,2,7
5,2026-02-22 01:56:56.208508,12184215205,17.7,2,0
5,2026-02-22 01:57:02.447868,12184215205,17.99,2,0
5,2026-02-22 01:57:05.977019,12184215205,18.0,2,0
5,2026-02-22 01:57:07.707654,12184215205,18.28,2,5
