Mode,Start_Time,Animal,Weight,Unit,Pellets
2,2026-02-12 22:14:19.994352,12183128157,16.51,2,1
2,2026-02-12 22:15:28.666525,12183128157,16.31,1,1
2,2026-02-13 01:01:29.323033,121868864,18.17,1,1
2,2026-02-13 01:02:59.342420,121868864,18.47,1,1
2,2026-02-13 01:04:09.419393,121868864,18.08,1,1
2,2026-02-13 01:04:13.791058,121868864,18.23,1,1
2,2026-02-13 01:05:15.527846,121868864,18.34,1,1
2,2026-02-13 01:06:09.601481,121868864,18.27,1,1
2,2026-02-13 01:06:12.675051,121868864,18.35,1,1
2,2026-02-13 01:06:35.602426,121868864,18.32,1,1
2,2026-02-13 01:07:44.957231,121868864,18.22,1,1
2,2026-02-13 01:08:42.425039,121868864,18.6,1,1
2,2026-02-13 01:08:45.169066,121868864,18.42,1,1
2,2026-02-13 01:09:04.250145,121868864,18.58,1,1
2,2026-02-13 01:10:01.011460,121868864,18.51,1,0
2,2026-02-13 01:10:54.044964,121868864,18.33,1,1
2,2026-02-13 01:10:56.560161,121868864,17.99,1,1
2,2026-02-13 01:11:33.247026,121868864,18.11,1,1
2,2026-02-13 01:12:06.236111,121868864,18.24,1,1
2,2026-02-13 01:12:08.653329,121868864,17.65,1,1
2,2026-02-13 01:12:39.364882,121868864,18.52,1,1
2,2026-02-13 01:20:53.189569,121868864,17.9,1,1
2,2026-02-13 01:21:34.838881,121868864,18.46,1,1
2,2026-02-13 01:22:29.353152,121868864,18.29,1,1
2,2026-02-13 01:23:14.553789,121868864,17.64,1,1
2,2026-02-13 01:23:16.876329,121868864,18.48,1,1
2,2026-02-13 01:24:17.343276,121868864,18.46,1,1
2,2026-02-13 01:24:20.249267,121868864,18.66,1,1
2,2026-02-13 01:24:54.034166,121868864,18.45,1,1
2,2026-02-13 01:25:03.277648,12183128157,16.91,1,0
2,2026-02-13 01:25:29.020471,121868864,18.65,1,1
2,2026-02-13 01:26:20.278195,121868864,18.48,1,1
2,2026-02-13 01:26:35.467409,121868864,18.6,1,1
2,2026-02-13 01:26:43.010363,12183128157,16.49,1,1
2,2026-02-13 01:27:43.111056,121868864,18.7,1,1
2,2026-02-13 01:27:49.477443,12183128157,16.73,1,1
2,2026-02-13 01:28:19.765674,12183128157,16.67,1,1
2,2026-02-13 01:28:28.268169,12183128157,15.64,1,0
2,2026-02-13 01:28:35.969216,121868864,17.62,1,1
2,2026-02-13 01:29:22.835238,12183128157,16.71,1,1
2,2026-02-13 00:58:15.774114,121835839,16.74,2,1
2,2026-02-13 01:29:44.319304,121868864,18.55,1,1
2,2026-02-13 01:33:03.303476,12183128157,16.3,1,1
2,2026-02-13 01:37:30.317905,12184229255,16.98,1,0
2,2026-02-13 01:39:31.609133,12184229255,16.86,1,0
2,2026-02-13 01:42:41.522985,121868864,18.85,1,1
2,2026-02-13 01:44:35.041515,121868864,18.7,1,1
2,2026-02-13 01:44:38.154994,121868864,18.66,1,1
2,2026-02-13 01:44:47.838124,121868864,18.83,1,1
2,2026-02-13 01:45:20.380224,12183128157,16.59,1,0
2,2026-02-13 01:45:31.461781,121868864,18.54,1,1
2,2026-02-13 01:46:09.089649,121868864,18.8,1,1
2,2026-02-13 01:46:11.348588,121868864,19.12,1,1
2,2026-02-13 01:46:45.097768,12183128157,16.3,1,1
2,2026-02-13 01:47:11.575551,12183128157,16.56,1,1
2,2026-02-13 01:31:19.290220,12183128157,16.69,2,1
2,2026-02-13 01:47:58.307433,12183128157,16.51,2,2
