Mode,Start_Time,Animal,Weight,Unit,Pellets
5,2025-02-10 22:49:39.150505,19644148217,18.49,3,0
5,2025-02-11 00:31:30.820813,19647144222,18.99,3,0
5,2025-02-10 22:54:31.755644,19644148217,18.77,1,0
5,2025-02-11 00:31:32.370055,19647144222,18.95,3,0
5,2025-02-11 00:31:49.112045,19645246186,19.21,1,0
5,2025-02-11 00:32:03.449166,19645246186,19.3,1,0
5,2025-02-11 00:31:53.671631,19647144222,17.45,3,0
5,2025-02-11 00:32:11.764392,196447011,18.33,1,0
5,2025-02-11 00:32:29.678146,19645246186,19.19,3,1
5,2025-02-11 00:32:51.520554,19645246186,19.43,3,0
5,2025-02-10 22:41:36.014181,19644148217,11.25,2,0
5,2025-02-11 00:33:00.000767,196447011,14.71,2,0
5,2025-02-11 00:32:59.041361,19645246186,19.3,3,0
5,2025-02-11 00:33:02.899694,19645246186,8.65,3,0
5,2025-02-11 00:33:07.340736,19645246186,19.33,3,0
5,2025-02-11 00:33:17.303110,19645246186,19.18,3,0
5,2025-02-11 00:33:25.967928,19645246186,19.37,3,0
5,2025-02-11 00:33:42.611322,19645246186,19.7,3,0
5,2025-02-11 00:33:46.371858,19645246186,17.31,3,0
5,2025-02-11 00:33:48.041578,19645246186,19.55,3,0
5,2025-02-11 00:33:52.911552,19645246186,19.33,3,0
5,2025-02-10 23:12:25.549695,120240136,1.0,4,0
5,2025-02-11 00:33:55.125817,196447011,19.65,4,0
5,2025-02-11 00:33:54.775485,19645246186,8.78,3,1
5,2025-02-11 00:33:58.059411,19645246186,18.37,3,0
5,2025-02-11 00:34:06.647885,19645246186,19.36,3,0
5,2025-02-11 00:34:11.520173,19645246186,20.86,3,0
5,2025-02-11 00:33:56.222425,196447011,18.23,4,0
5,2025-02-11 00:34:14.201402,19645246186,19.2,3,0
5,2025-02-11 00:34:14.579556,196447011,21.51,4,0
5,2025-02-11 00:33:01.302124,196447011,14.5,2,0
5,2025-02-11 00:34:25.772393,196447011,22.06,4,0
5,2025-02-11 00:34:36.732822,196447011,15.88,4,0
5,2025-02-11 00:34:30.812019,19645246186,15.17,2,0
5,2025-02-11 00:34:44.527614,19645246186,15.67,2,0
5,2025-02-11 00:34:47.533462,19645246186,14.45,2,0
5,2025-02-11 00:34:49.069820,19645246186,15.51,2,0
5,2025-02-11 00:34:53.462655,1102000232,7.82,2,0
5,2025-02-11 00:34:20.262591,19645246186,18.43,3,0
5,2025-02-11 00:35:00.494429,196447011,18.38,3,0
5,2025-02-11 00:34:53.668196,19645246186,13.84,2,0
5,2025-02-11 00:35:12.998652,19645246186,15.73,2,0
5,2025-02-11 00:35:18.181812,19645246186,15.67,2,0
5,2025-02-11 00:35:19.901729,19645246186,15.6,2,0
5,2025-02-11 00:35:03.205008,196447011,18.32,3,0
5,2025-02-11 00:35:26.584321,196447011,18.5,3,0
5,2025-02-11 00:35:38.519408,196447011,18.27,3,0
