Mode,Start_Time,Animal,Weight,Unit,Pellets
5,2025-03-31 23:53:52.951265,19645782,17.49,4,0
5,2025-04-01 00:50:16.136758,1102000232,16.83,4,0
5,2025-04-01 00:50:16.342944,19647186244,16.98,4,2
5,2025-04-01 00:50:26.432651,19647186244,18.2,4,0
5,2025-04-01 00:50:32.799094,19647186244,14.95,4,1
5,2025-04-01 00:50:40.732946,19647186244,18.3,4,1
5,2025-04-01 00:50:48.470803,19647186244,17.19,4,1
5,2025-04-01 00:50:58.853254,19647186244,18.2,4,2
5,2025-04-01 00:51:17.919925,19647186244,17.69,4,2
5,2025-04-01 00:51:29.184172,19647186244,18.32,4,1
5,2025-04-01 00:51:42.831055,19647186244,17.71,4,2
5,2025-04-01 00:51:59.057509,19647186244,17.16,4,0
5,2025-04-01 00:52:13.063982,19647186244,18.58,4,0
5,2025-04-01 00:52:29.268829,19647186244,18.53,4,0
5,2025-04-01 01:05:03.522740,19644194143,12.59,4,2
5,2025-04-01 01:05:21.952364,19644194143,17.51,4,0
5,2025-04-01 01:05:31.134673,19644194143,17.55,4,1
5,2025-04-01 01:05:48.035158,19644194143,18.01,4,1
5,2025-04-01 01:06:00.605017,19644194143,13.31,4,1
5,2025-04-01 01:06:15.264260,19644194143,15.87,4,19
5,2025-04-01 01:12:11.332353,19644194143,15.45,4,1
5,2025-04-01 01:12:23.759689,19644194143,17.6,4,1
5,2025-04-01 01:12:36.271799,1102000232,12.75,4,0
5,2025-04-01 01:12:36.477415,19644194143,16.57,4,1
5,2025-04-01 01:12:53.175014,19644194143,14.89,4,1
5,2025-04-01 01:13:05.542595,19644194143,18.17,4,1
5,2025-04-01 01:13:25.261949,19644194143,17.07,4,1
5,2025-04-01 01:13:41.336762,19644194143,17.18,4,1
5,2025-04-01 01:16:19.803228,19644194143,17.59,4,0
5,2025-04-01 01:18:23.956418,19647186244,14.88,4,1
5,2025-04-01 01:18:33.329542,19647186244,18.16,4,2
5,2025-04-01 01:18:41.693680,19647186244,18.59,4,0
5,2025-04-01 01:18:49.594758,19647186244,15.09,4,1
5,2025-04-01 01:18:58.148516,19647186244,16.86,4,2
5,2025-04-01 01:19:08.632645,19647186244,18.77,4,1
5,2025-04-01 01:19:16.827405,19647186244,16.87,4,1
5,2025-04-01 01:19:23.123080,19647186244,18.25,4,0
5,2025-04-01 01:19:29.517378,19647186244,17.8,4,2
5,2025-04-01 01:19:40.270733,19647186244,18.75,4,0
5,2025-04-01 01:19:55.452457,19647186244,18.56,4,0
5,2025-04-01 01:20:32.933267,19647186244,22.09,4,0
5,2025-04-01 01:20:34.826725,19647186244,18.65,4,0
5,2025-04-01 01:20:36.524668,19647186244,16.67,4,0
5,2025-04-01 01:21:16.519701,1102000232,17.6,4,0
5,2025-04-01 01:21:16.724947,19647186244,18.91,4,0
5,2025-04-01 01:21:22.363749,19647186244,18.64,4,0
5,2025-04-01 01:21:25.987688,19647186244,18.03,4,0
5,2025-04-01 01:21:29.121772,19647186244,12.92,4,0
5,2025-04-01 01:21:34.900942,19647186244,18.75,4,0
5,2025-04-01 01:21:39.341093,19647186244,18.7,4,0
5,2025-04-01 01:22:32.320031,19647186244,18.5,4,0
5,2025-04-01 01:22:40.976547,19647186244,18.79,4,0
5,2025-04-01 01:22:49.335557,19647186244,17.3,4,9
5,2025-04-01 01:29:03.217750,19647181251,14.17,4,4
5,2025-04-01 01:30:55.913735,19647181251,15.39,4,0
5,2025-04-01 01:30:58.037564,19647181251,16.91,4,1
5,2025-04-01 01:31:03.031268,19647181251,17.44,4,0
5,2025-04-01 01:31:21.009931,19647181251,16.39,4,0
5,2025-04-01 01:31:23.882074,19647181251,17.39,4,2
5,2025-04-01 01:33:16.722514,19644194143,17.95,4,1
5,2025-04-01 01:33:25.471490,19644194143,17.75,4,1
5,2025-04-01 01:33:35.234966,19644194143,17.75,4,1
5,2025-04-01 01:33:51.273293,19644194143,17.36,4,2
5,2025-04-01 01:34:12.625484,19644194143,18.03,4,0
5,2025-04-01 01:34:29.757439,1102000232,18.06,4,0
5,2025-04-01 01:34:29.963191,19644194143,16.8,4,1
5,2025-04-01 01:34:44.585319,19644194143,18.93,4,1
5,2025-04-01 02:57:04.923952,19644207130,18.52,4,1
5,2025-04-01 02:57:15.084152,19644207130,17.89,4,1
5,2025-04-01 02:57:28.542858,19644207130,17.98,4,1
5,2025-04-01 02:57:39.480012,19644207130,18.95,4,1
5,2025-04-01 02:57:54.129934,19644207130,17.99,4,1
5,2025-04-01 02:58:09.119667,19644207130,16.8,4,1
5,2025-04-01 02:58:27.935553,19644207130,18.28,4,2
5,2025-04-01 02:58:44.684497,19644207130,19.08,4,1
5,2025-04-01 02:59:03.641298,19644207130,18.56,4,1
5,2025-04-01 02:59:21.170331,19644207130,19.01,4,1
5,2025-04-01 02:59:44.871609,19644207130,18.57,4,1
5,2025-04-01 03:05:40.545261,19644207130,18.07,4,1
5,2025-04-01 03:05:52.083115,19644207130,18.19,4,1
5,2025-04-01 03:06:02.206372,19644207130,17.86,4,1
5,2025-04-01 03:06:16.150024,19644207130,18.15,4,1
5,2025-04-01 03:06:31.744477,19644207130,16.68,4,1
5,2025-04-01 03:06:44.825145,19644207130,17.03,4,1
5,2025-04-01 03:07:01.165712,19644207130,18.97,4,1
5,2025-04-01 03:07:14.456174,1102000232,16.15,4,0
5,2025-04-01 03:07:14.662205,19644207130,16.22,4,1
5,2025-03-31 22:15:14.752615,19645782,17.47,1,1
5,2025-04-01 03:11:47.903152,19644207130,17.35,1,1
5,2025-04-01 03:12:31.489935,19644207130,26.93,1,0
5,2025-04-01 03:07:31.433643,19644207130,15.35,4,1
5,2025-04-01 03:24:48.292917,19644207130,16.7,4,1
5,2025-04-01 03:24:59.289329,19644207130,18.57,4,1
5,2025-04-01 03:25:09.085387,19644207130,18.67,4,1
5,2025-04-01 03:25:19.324284,19644207130,15.88,4,1
5,2025-04-01 03:25:32.856871,19644207130,18.72,4,1
5,2025-04-01 03:25:46.332700,19644207130,18.04,4,1
5,2025-04-01 03:26:01.119810,19644207130,18.41,4,1
