Mode,Start_Time,Animal,Weight,Unit,Pellets
0,2025-07-18 23:59:15.588341,1111110189189,17.48,2,0
0,2025-07-18 23:18:59.342865,1111111170171,17.96,4,0
0,2025-07-19 00:17:25.685259,11111112120,18.18,4,0
0,2025-07-19 00:11:35.670415,1111110189189,17.59,2,0
0,2025-07-19 00:23:55.548286,11111112223,18.01,2,0
0,2025-07-19 00:23:57.573430,11111112223,17.97,2,0
0,2025-07-18 22:47:57.698726,1111111117116,17.76,1,0
0,2025-07-19 00:26:07.778532,11111112120,18.35,1,0
0,2025-07-19 00:26:37.385623,1111110189189,17.55,1,0
0,2025-07-19 00:26:47.900621,11111112223,18.51,1,0
0,2025-07-18 22:10:35.837953,1111111168169,17.06,3,0
0,2025-07-19 00:42:44.467391,11111112223,18.17,3,0
0,2025-07-19 00:24:00.840267,11111112223,18.13,2,0
0,2025-07-19 00:44:56.238560,11111112223,17.75,2,0
0,2025-07-19 01:51:46.325192,1111111168169,17.39,2,0
0,2025-07-19 02:28:49.354335,1111111120121,17.54,2,0
0,2025-07-19 03:36:34.624185,1111110189189,17.15,2,0
0,2025-07-19 00:26:55.904211,11111112223,17.97,1,0
0,2025-07-19 03:41:47.096364,11111112223,17.69,1,0
0,2025-07-19 03:37:50.592073,11111112223,17.87,2,0
0,2025-07-19 03:41:52.812943,11111112223,17.74,1,0
0,2025-07-19 03:48:46.694423,11111112120,18.02,2,0
0,2025-07-19 03:51:25.522805,1111110189189,16.96,2,0
0,2025-07-19 03:48:58.460360,1111110189189,17.4,1,0
0,2025-07-19 03:51:48.924305,1111111117116,17.25,2,0
0,2025-07-19 00:42:51.195639,11111112223,18.27,3,0
0,2025-07-19 04:07:26.750504,1111111117116,17.72,3,0
0,2025-07-19 04:07:29.528250,1111111117116,17.75,3,0
0,2025-07-19 04:07:51.850977,11111112120,18.63,3,0
0,2025-07-19 04:01:49.637130,1111111117116,17.41,2,0
0,2025-07-19 00:18:22.293047,1111110189189,17.11,4,0
0,2025-07-19 04:31:54.790811,1102000232,17.7,4,0
0,2025-07-19 04:27:30.624182,11111112120,16.92,2,0
0,2025-07-19 04:31:54.996417,11111112120,18.32,4,0
