Mode,Start_Time,Animal,Unit
0,2025-09-04 00:02:22.768100,1111111140141,2
0,2025-09-04 00:02:27.931841,1111111140141,1
solo,2025-09-04 00:02:27.933548,0,0
0,2025-09-04 00:07:04.419213,1111111117116,1
0,2025-09-04 00:07:19.567305,1111111117116,2
solo,2025-09-04 00:07:19.569,0,0
0,2025-09-04 00:07:30.368407,1111111120121,2
1,2025-09-04 00:07:32.425933,1111111117116,2
0,2025-09-04 00:07:35.222488,1111111120121,1
start Lindzey,2025-09-04 00:07:35.224132,0,0
1,2025-09-04 00:07:36.873735,1111111117116,1
End Lindzey,2025-09-04 00:09:35.224635,0,0
0,2025-09-04 00:15:55.567009,11111112120,1
0,2025-09-04 00:16:01.340699,11111112120,2
solo,2025-09-04 00:16:01.342484,0,0
0,2025-09-04 00:17:02.209950,1111111120121,2
0,2025-09-04 00:17:08.396611,1111111120121,1
solo,2025-09-04 00:17:08.398297,0,0
0,2025-09-04 00:17:15.122977,1111111117116,1
0,2025-09-04 00:17:20.674960,1111111117116,2
solo,2025-09-04 00:17:20.676608,0,0
0,2025-09-04 00:18:33.689608,1111111117116,2
0,2025-09-04 00:18:36.472507,1111111117116,1
solo,2025-09-04 00:18:36.474226,0,0
0,2025-09-04 00:26:04.807179,1111111140141,2
0,2025-09-04 00:26:08.080800,1111111140141,1
solo,2025-09-04 00:26:08.082536,0,0
0,2025-09-04 00:31:05.810924,11111112120,2
0,2025-09-04 00:31:10.734259,11111112120,1
solo,2025-09-04 00:31:10.735940,0,0
0,2025-09-04 00:33:47.190913,1111111120121,2
1,2025-09-04 00:33:49.476525,1111111120121,2
0,2025-09-04 00:33:58.516709,1111111120121,1
solo,2025-09-04 00:33:58.518397,0,0
0,2025-09-04 00:34:45.355894,1111111120121,2
1,2025-09-04 00:34:50.840925,1111111120121,2
0,2025-09-04 00:34:54.754985,1111111120121,1
solo,2025-09-04 00:34:54.756622,0,0
0,2025-09-04 00:41:40.080009,11111112120,1
0,2025-09-04 00:41:43.109622,11111112120,2
solo,2025-09-04 00:41:43.111332,0,0
0,2025-09-04 00:42:46.673217,11111112120,1
0,2025-09-04 00:42:48.681787,11111112120,2
solo,2025-09-04 00:42:48.683436,0,0
0,2025-09-04 00:43:09.049330,1111111120121,2
1,2025-09-04 00:43:12.262307,1111111120121,2
0,2025-09-04 00:43:19.095354,1111111120121,1
solo,2025-09-04 00:43:19.097038,0,0
0,2025-09-04 00:48:06.582220,1111111120121,1
1,2025-09-04 00:48:12.526133,1111111120121,1
2,2025-09-04 00:48:16.245051,1111111120121,1
0,2025-09-04 00:48:25.007703,1111111120121,2
solo,2025-09-04 00:48:25.009365,0,0
