Mode,Start_Time,Animal,Unit
initialize,2025-09-09 13:21:34.943380,0,1
initialize,2025-09-09 13:21:34.943388,0,2
initialize,2025-09-09 13:21:34.943390,0,3
initialize,2025-09-09 13:21:34.943391,0,4
0,2025-09-09 13:22:09.082297,11111112120,2
0,2025-09-09 13:22:12.616882,11111112120,1
solo,2025-09-09 13:22:12.618626,0,0
0,2025-09-09 13:24:59.209069,1111111117116,1
0,2025-09-09 13:25:02.216469,1111111117116,2
solo,2025-09-09 13:25:02.218329,0,0
0,2025-09-09 13:25:17.633436,1111111117116,2
0,2025-09-09 13:25:19.926558,1111111117116,1
solo,2025-09-09 13:25:19.928197,0,0
0,2025-09-09 13:43:13.802316,1111111117116,2
1,2025-09-09 13:43:15.206749,1111111117116,2
0,2025-09-09 13:43:18.554422,1111111117116,1
solo,2025-09-09 13:43:18.556185,0,0
0,2025-09-09 13:45:08.401096,1111111117116,1
0,2025-09-09 13:45:11.840156,1111111117116,2
solo,2025-09-09 13:45:11.841930,0,0
0,2025-09-09 13:45:44.413141,1111111120121,1
0,2025-09-09 13:45:47.441886,1111111120121,2
solo,2025-09-09 13:45:47.443646,0,0
0,2025-09-09 13:46:34.090296,11111112120,2
0,2025-09-09 13:46:36.617334,11111112120,1
solo,2025-09-09 13:46:36.619060,0,0
0,2025-09-09 13:49:23.297859,1111111117116,2
1,2025-09-09 13:49:25.061180,1111111117116,2
0,2025-09-09 13:49:27.241323,1111111117116,1
solo,2025-09-09 13:49:27.243127,0,0
0,2025-09-09 13:51:22.981644,1111111140141,1
0,2025-09-09 13:51:26.160470,1111111140141,2
solo,2025-09-09 13:51:26.162211,0,0
0,2025-09-09 13:52:09.885467,1111111168169,4
1,2025-09-09 13:52:13.119838,1111111168169,4
0,2025-09-09 13:52:17.078438,1111111168169,3
solo2,2025-09-09 13:52:17.080221,0,5
0,2025-09-09 14:06:41.561821,1111111168169,4
0,2025-09-09 14:06:48.143789,1111111168169,3
solo2,2025-09-09 14:06:48.145542,0,5
0,2025-09-09 14:13:51.604419,1111111140141,2
0,2025-09-09 14:13:54.377665,1111111140141,1
solo,2025-09-09 14:13:54.379281,0,0
0,2025-09-09 14:24:28.524675,1111111140141,1
