Mode,Start_Time,Animal,Weight,Unit,Pellets
7,2025-11-13 23:59:58.458163,121833859,27.33,1,1
7,2025-11-14 00:00:04.206312,121833859,27.09,1,1
7,2025-11-14 00:00:09.390302,121833859,27.0,1,1
7,2025-11-14 00:00:16.856898,121833859,27.06,1,1
7,2025-11-14 00:00:25.146209,121833859,27.03,1,1
7,2025-11-14 00:00:32.349769,121833859,27.19,1,1
7,2025-11-14 00:00:40.417105,121833859,26.8,1,0
7,2025-11-14 00:00:49.092616,121833859,27.47,1,1
7,2025-11-14 00:01:11.597556,12184189167,27.2,1,1
7,2025-11-14 00:01:17.840321,12184189167,26.32,1,1
7,2025-11-14 00:01:24.322799,12184189167,25.26,1,1
7,2025-11-14 00:01:32.566228,12184189167,26.35,1,1
7,2025-11-14 00:01:36.738348,12184189167,27.66,1,1
7,2025-11-14 00:01:49.260581,12185199220,27.15,1,1
7,2025-11-14 00:02:03.640067,12185199220,26.01,1,1
7,2025-11-14 00:02:15.235953,12185199220,25.94,1,1
7,2025-11-14 00:02:25.819245,12185199220,25.87,1,1
7,2025-11-14 00:02:36.434719,12185199220,25.63,1,1
7,2025-11-14 00:02:49.208574,12185199220,25.66,1,1
7,2025-11-14 00:02:58.551969,12185199220,26.02,1,1
7,2025-11-14 00:03:13.501718,12185199220,26.04,1,2
7,2025-11-14 00:12:29.365915,121833859,27.15,1,0
7,2025-11-14 00:12:35.107222,121833859,27.55,1,0
7,2025-11-14 00:12:42.111045,121833859,27.2,1,1
7,2025-11-14 00:12:51.483993,121833859,27.53,1,1
7,2025-11-14 00:13:00.048780,121833859,27.41,1,1
7,2025-11-14 00:13:06.535121,121833859,27.31,1,2
7,2025-11-14 00:13:16.021399,121833859,27.91,1,1
7,2025-11-14 00:13:37.338912,12185199220,25.42,1,0
7,2025-11-14 00:13:52.693827,12185199220,26.17,1,1
7,2025-11-14 00:14:00.052711,12185199220,26.1,1,1
7,2025-11-14 00:14:09.856295,12185199220,25.13,1,1
7,2025-11-14 00:14:22.663727,12185199220,25.29,1,2
7,2025-11-14 00:14:33.447733,12185199220,25.56,1,0
7,2025-11-14 00:14:43.839639,12185199220,26.05,1,1
7,2025-11-14 00:14:54.899004,12185199220,25.9,1,1
7,2025-11-14 00:16:21.838274,121835736,27.78,1,1
7,2025-11-14 00:16:31.540344,121835736,27.73,1,1
7,2025-11-14 00:16:38.227063,121835736,27.84,1,1
7,2025-11-14 00:16:46.383591,121835736,27.74,1,1
7,2025-11-14 00:16:57.524844,121835736,27.1,1,1
7,2025-11-14 00:21:14.212982,12184189167,27.11,1,1
7,2025-11-14 00:21:20.517283,12184189167,27.13,1,1
7,2025-11-14 00:21:27.525517,12184189167,26.88,1,1
7,2025-11-14 00:21:36.013937,12184189167,26.48,1,1
7,2025-11-14 00:21:43.240589,12184189167,25.96,1,1
7,2025-11-14 00:21:50.179719,12184189167,26.44,1,1
7,2025-11-14 00:21:58.954005,12184189167,26.81,1,1
7,2025-11-14 00:22:06.828849,12184189167,26.89,1,1
7,2025-11-14 00:22:14.666705,12184189167,25.37,1,1
7,2025-11-14 00:31:43.397101,12185199220,25.99,1,1
7,2025-11-14 00:31:53.359710,12185199220,25.86,1,1
7,2025-11-14 00:32:05.125968,12185199220,25.66,1,1
7,2025-11-14 00:32:13.712490,12185199220,35.31,1,2
7,2025-11-14 00:32:28.540938,12184189167,26.67,1,1
7,2025-11-14 00:32:34.692967,12184189167,26.8,1,0
7,2025-11-14 00:32:39.597267,12184189167,25.96,1,1
7,2025-11-14 00:32:48.388870,12184189167,26.19,1,1
7,2025-11-14 00:32:55.853676,12184189167,25.7,1,1
7,2025-11-14 00:33:01.151878,12184189167,40.55,1,0
7,2025-11-14 00:33:24.910768,121835736,27.88,1,1
7,2025-11-14 00:33:31.514830,121835736,27.67,1,1
7,2025-11-14 00:33:40.267258,121835736,27.43,1,1
7,2025-11-14 00:33:49.903496,121835736,26.79,1,2
7,2025-11-14 00:34:21.903393,121833859,28.38,1,0
7,2025-11-14 00:34:27.498237,121833859,28.17,1,1
7,2025-11-14 00:34:32.639779,121833859,27.34,1,1
7,2025-11-14 00:34:37.846014,121833859,28.27,1,1
7,2025-11-14 00:34:44.124463,121833859,28.4,1,0
7,2025-11-14 00:34:51.547390,121833859,27.92,1,0
7,2025-11-14 00:34:58.515810,121833859,27.94,1,1
7,2025-11-14 00:35:06.789760,121833859,27.1,1,1
7,2025-11-14 00:35:16.072257,121833859,27.37,1,1
7,2025-11-14 00:38:52.770745,12184189167,27.11,1,2
7,2025-11-14 00:48:43.290724,121833859,28.17,1,0
7,2025-11-14 00:48:47.995349,121833859,28.27,1,1
7,2025-11-14 00:48:55.129060,121833859,27.5,1,1
7,2025-11-14 00:49:00.102660,121833859,27.73,1,1
7,2025-11-14 00:49:10.086934,121833859,28.32,1,1
7,2025-11-14 00:49:17.610025,121833859,27.4,1,1
7,2025-11-14 00:49:26.634554,121833859,28.4,1,1
7,2025-11-14 00:49:35.965036,121833859,27.23,1,1
